Modell,Parameter,Trainingszeit,Vorhersagezeit,Genauigkeit,Recall,Precision,F1 Score
ConvolutionalAutoencoder_0,,176.37800526618958,3.0645484924316406,0.8645580673328805,0.8645580673328805,0.8808362043887716,0.8568819854522307
ConvolutionalAutoencoder_1,,182.55130076408386,3.848634958267212,0.942311050742214,0.942311050742214,0.9422933414841338,0.9423019184865759
ConvolutionalAutoencoder_2,,137.0962200164795,3.384394645690918,0.9420587949936936,0.9420587949936936,0.9420266648416533,0.9420417776654175
ConvolutionalAutoencoder_3,,107.03861021995544,2.942974328994751,0.8702629281071117,0.8702629281071117,0.8696920972717951,0.8699055088298099
ConvolutionalAutoencoder_4,,159.07967925071716,4.106785535812378,0.9439798195401183,0.9439798195401183,0.9440360202194169,0.9440055435424287
ConvolutionalAutoencoder_5,,138.3018901348114,3.4785735607147217,0.9430290094110798,0.9430290094110798,0.9433368571870528,0.9431392067620022
ConvolutionalAutoencoder_6,,138.50574851036072,3.287175178527832,0.9433782866013389,0.9433782866013389,0.9433170658020874,0.943343544701502
ConvolutionalAutoencoder_7,,142.60841298103333,3.572946548461914,0.9396720675269234,0.9396720675269234,0.9395358846341606,0.9395779863851114
ConvolutionalAutoencoder_6,,129.90577721595764,3.423213481903076,0.9415154749199574,0.9415154749199574,0.9419491519139471,0.9416600253548136
ConvolutionalAutoencoder_8,,258.93117117881775,4.4846718311309814,0.9435529251964684,0.9435529251964684,0.9436236418920686,0.943584704224646
ConvolutionalAutoencoder_9,,863.7579727172852,3.593493938446045,0.93808091588241,0.93808091588241,0.9393533858788788,0.9383935832712593
