Modell,Parameter,Trainingszeit,Vorhersagezeit,Genauigkeit,Recall,Precision,F1 Score
LSTM,,342.4756877422333,12.02439022064209,0.9120791694964587,0.9120791694964587,0.9170977884337222,0.9129898802713557
LSTM_2,,330.47609066963196,7.234536170959473,0.9190065004365965,0.9190065004365965,0.9226420232008448,0.9197221104938839
LSTM_3,,312.50183367729187,7.393116235733032,0.9436693509265548,0.9436693509265548,0.9442254056128405,0.9438386424483918
GRU_2,,273.0241332054138,5.994750022888184,0.9440186281168138,0.9440186281168138,0.9445015036897463,0.944171240017563
GRU_1,,268.0511894226074,6.3574817180633545,0.9418647521102164,0.9418647521102164,0.9419398107390372,0.9418984855265581
GRU_3,,255.38641786575317,5.973047256469727,0.9445231396138547,0.9445231396138547,0.944504913701851,0.9445137054763902
Autoencoder_1,,182.45185470581055,5.3967344760894775,0.9385466188027554,0.9385466188027554,0.9390415839403339,0.9387101666329027
Autoencoder_2,,212.892911195755,6.439845323562622,0.9392257688949258,0.9392257688949258,0.9396137580220913,0.9393613842748323
Autoencoder_3,,197.8932123184204,5.291931867599487,0.9410109634229165,0.9410109634229165,0.9425125931420849,0.9413451424882658
Autoencoder_4,,231.9218258857727,6.714306116104126,0.9409333462695255,0.9409333462695255,0.9414419456153647,0.9410965976551576
Autoencoder_5,,201.58274459838867,5.560567140579224,0.9438827980983797,0.9438827980983797,0.9445559955743459,0.944075573331482
Autoencoder_6,,199.06301975250244,5.525779962539673,0.9403318133307461,0.9403318133307461,0.9406323967994691,0.940442273083624
Autoencoder_7,,200.32427525520325,5.057789087295532,0.9435529251964684,0.9435529251964684,0.9437570463929582,0.9436322219426347
Autoencoder_9,,175.07908415794373,5.063507080078125,0.9437857766566411,0.9437857766566411,0.9441601418661184,0.9439127556791189
Autoencoder_10,,166.23231601715088,5.028031826019287,0.943863393810032,0.943863393810032,0.9439290252694671,0.9438930577076888
Autoencoder_11,,147.37764644622803,4.301625490188599,0.9430872222761231,0.9430872222761231,0.9437459041261943,0.9432788269548436
Autoencoder_12,,153.13235330581665,4.718318700790405,0.9439992238284661,0.9439992238284661,0.9439492000485077,0.9439715157653464
Autoencoder_13,,166.74072885513306,4.789885520935059,0.9431066265644708,0.9431066265644708,0.942966609576927,0.9429973280666281
Autoencoder_14,,731.8031067848206,4.661428213119507,0.3610361889977685,0.3610361889977685,0.7693477427443504,0.1921040660918449
Autoencoder_15,,707.8761096000671,4.189454555511475,0.3607257203842049,0.3607257203842049,0.22151158555047865,0.19142615477673922
